inversion_id,empresa_id,tipo_inversion,entidad_emisora,fecha_inicio,fecha_vencimiento,dias_plazo,monto_inicial,tasa_anual_simulada,valor_actual_simulado,estado_inversion,ganancia_perdida_simulada,nombre_empresa,cuit,Cluster_ID,Target_Real
INV-20075,2010,Plazo Fijo Bancario,BBVA Argentina,2023-11-18,2024-02-16,90.0,3278743.03,0.1071,3365328.79,Liquidada,86585.76,"Escobar, Molina and Guzman",30-97199217-6,0,
INV-20025,2019,Fondo Común de Inversión (FCI),"Suarez, Rojas and Sanchez",2023-11-24,,,3789723.53,0.0709,4218925.39,Activa,429201.86,"Gomez, Bustos and Aguirre",30-49155489-2,2,
INV-20019,2014,Fondo Común de Inversión (FCI),Ruiz-Morales,2023-11-25,,,3422987.03,0.1473,4395284.63,Activa,972297.6,"Gomez, Dominguez and Acosta",30-27802329-6,2,
INV-20082,2016,Acciones (Cotización),"Quiroga, Gonzalez and Carrizo",2023-11-25,,,750117.15,0.0279,793766.57,Activa,43649.42,Rodriguez Inc,30-56062316-9,1,
INV-20020,2018,Fondo Común de Inversión (FCI),Banco Comafi,2023-11-26,,,3699149.31,0.1442,4598445.7,Activa,899296.39,Torres-Gutierrez,30-17152080-2,2,
INV-20005,2017,Fondo Común de Inversión (FCI),Ponce Group,2023-11-28,,,781215.66,0.1436,1037727.2,Activa,256511.54,"Peralta, Campos and Cabrera",30-67380697-6,1,
INV-20092,2014,Cauciones Bursátiles,"Aguirre, Sosa and Godoy",2023-12-02,2024-01-01,30.0,777887.79,0.0764,782772.5,Vencida,4884.71,"Gomez, Dominguez and Acosta",30-27802329-6,1,
INV-20043,2000,Fondo Común de Inversión (FCI),Flores Inc,2023-12-05,,,4148813.01,0.0578,4590176.82,Activa,441363.81,"Acosta, Medina and Alvarez",30-09815711-7,2,
INV-20010,2008,Bonos del Tesoro,"Perez, Fernandez and Acuña",2023-12-19,,,1614421.74,0.0927,1905721.33,Activa,291299.59,Benitez-Ruiz,30-00803582-6,0,
INV-20000,2014,Bonos del Tesoro,BBVA Argentina,2024-01-07,,,2232525.68,0.077,2602839.67,Activa,370313.99,"Gomez, Dominguez and Acosta",30-27802329-6,0,
INV-20084,2014,Cauciones Bursátiles,Banco de Inversión y Comercio Exterior (BICE),2024-01-27,2024-04-26,90.0,1738579.57,0.0608,1764643.97,Liquidada,26064.4,"Gomez, Dominguez and Acosta",30-27802329-6,0,
INV-20071,2015,Bonos del Tesoro,Citibank,2024-01-28,,,1905566.67,0.0909,2270899.45,Activa,365332.78,Avila Ltd,30-97925279-5,0,
INV-20038,2002,Plazo Fijo Bancario,"Rojas, Fernandez and Lopez",2024-01-30,2024-04-29,90.0,802176.91,0.119,825714.76,Liquidada,23537.85,Silva Inc,30-54635237-2,1,
INV-20023,2009,Fondo Común de Inversión (FCI),"Gonzalez, Sosa and Rodriguez",2024-02-06,,,2176382.64,0.0745,2424471.05,Activa,248088.41,Silva PLC,30-47413898-4,0,
INV-20035,2007,Fondo Común de Inversión (FCI),Cabrera and Sons,2024-02-13,,,1172867.47,0.0986,1373043.82,Activa,200176.35,Sosa-Moreno,30-76343410-1,1,
INV-20091,2001,Cauciones Bursátiles,Herrera-Torres,2024-02-18,2024-05-18,90.0,1267505.45,0.0696,1289257.93,Liquidada,21752.48,"Herrera, Perez and Fernandez",30-26898987-5,1,
INV-20095,2001,Cauciones Bursátiles,Banco de la Provincia de Córdoba,2024-02-22,2025-02-21,365.0,4543745.59,0.0805,4909517.11,Liquidada,365771.52,"Herrera, Perez and Fernandez",30-26898987-5,2,
INV-20002,2018,Cauciones Bursátiles,"Aguirre, Cordoba and Torres",2024-03-01,2024-08-28,180.0,4083840.5,0.089,4263081.94,Liquidada,179241.44,Torres-Gutierrez,30-17152080-2,2,
INV-20042,2005,Plazo Fijo Bancario,Diaz and Sons,2024-03-10,2025-03-10,365.0,1126207.82,0.066,1200537.54,Liquidada,74329.72,"Moreno, Paez and Gutierrez",30-28528224-9,1,
INV-20034,2008,Acciones (Cotización),Banco Comafi,2024-03-20,,,3697040.77,-0.0004,3694305.91,Activa,-2734.86,Benitez-Ruiz,30-00803582-6,2,
INV-20078,2013,Bonos del Tesoro,Pereyra and Sons,2024-04-01,,,699694.01,0.078,780997.66,Activa,81303.65,Romero-Fernandez,30-04203062-3,1,
INV-20031,2005,Cauciones Bursátiles,"Avila, Molina and Ponce",2024-04-02,2024-05-02,30.0,912269.05,0.0796,918237.54,Liquidada,5968.49,"Moreno, Paez and Gutierrez",30-28528224-9,1,
INV-20054,2006,Plazo Fijo Bancario,Nuevo Banco de Santa Fe,2024-04-14,2024-05-14,30.0,4579651.19,0.0649,4604080.18,Liquidada,24428.99,Medina-Ferreyra,30-20000442-3,2,
INV-20032,2005,Acciones (Cotización),"Torres, Gomez and Cabrera",2024-04-20,,,969572.52,-0.0135,945000.48,Activa,-24572.04,"Moreno, Paez and Gutierrez",30-28528224-9,1,
INV-20050,2005,Acciones (Cotización),Banco Credicoop,2024-05-06,,,316311.28,0.1284,371270.11,Activa,54958.83,"Moreno, Paez and Gutierrez",30-28528224-9,1,
INV-20081,2001,Plazo Fijo Bancario,Banco Comafi,2024-05-12,2024-11-08,180.0,1907228.94,0.0852,1987363.91,Vencida,80134.97,"Herrera, Perez and Fernandez",30-26898987-5,0,
INV-20079,2013,Cauciones Bursátiles,"Ruiz, Gomez and Farias",2024-05-14,2024-06-13,30.0,909018.44,0.0842,915309.35,Liquidada,6290.91,Romero-Fernandez,30-04203062-3,1,
INV-20077,2009,Acciones (Cotización),"Sosa, Mendez and Gonzalez",2024-05-18,,,637571.99,-0.0429,588495.46,Activa,-49076.53,Silva PLC,30-47413898-4,1,
INV-20028,2013,Acciones (Cotización),"Martin, Ruiz and Ojeda",2024-05-20,,,4588471.05,0.051,4986971.55,Activa,398500.5,Romero-Fernandez,30-04203062-3,2,
INV-20049,2005,Fondo Común de Inversión (FCI),Banco Santander,2024-05-27,,,2404193.03,0.0859,2707773.79,Activa,303580.76,"Moreno, Paez and Gutierrez",30-28528224-9,0,
INV-20069,2018,Bonos del Tesoro,Martinez-Acosta,2024-06-09,,,4839401.88,0.0799,5407697.98,Activa,568296.1,Torres-Gutierrez,30-17152080-2,2,
INV-20014,2001,Plazo Fijo Bancario,Industrial And Commercial Bank Of China,2024-06-12,2024-07-12,30.0,1969228.02,0.095,1984604.18,Liquidada,15376.16,"Herrera, Perez and Fernandez",30-26898987-5,0,
INV-20076,2004,Cauciones Bursátiles,Banco Ciudad de Buenos Aires,2024-06-27,2024-08-26,60.0,2731849.4,0.0775,2766652.41,Liquidada,34803.01,"Paez, Medina and Gonzalez",30-37812373-4,0,
INV-20062,2014,Cauciones Bursátiles,BBVA Argentina,2024-07-02,2024-12-29,180.0,2225379.18,0.062,2293420.91,Liquidada,68041.73,"Gomez, Dominguez and Acosta",30-27802329-6,0,
INV-20004,2005,Cauciones Bursátiles,Banco Supervielle,2024-07-15,2025-01-11,180.0,3943817.46,0.0785,4096491.82,Vencida,152674.36,"Moreno, Paez and Gutierrez",30-28528224-9,2,
INV-20051,2018,Acciones (Cotización),"Rodriguez, Ruiz and Martinez",2024-07-20,,,105358.94,-0.0359,101019.17,Activa,-4339.77,Torres-Gutierrez,30-17152080-2,1,
INV-20018,2012,Bonos del Tesoro,BBVA Argentina,2024-08-08,,,1057459.85,0.0761,1151001.87,Activa,93542.02,Roldan-Torres,30-17411912-4,1,
INV-20067,2005,Cauciones Bursátiles,Banco Supervielle,2024-08-11,2025-02-07,180.0,3021151.34,0.0984,3167755.81,Liquidada,146604.47,"Moreno, Paez and Gutierrez",30-28528224-9,0,
INV-20089,2012,Cauciones Bursátiles,Garcia-Soto,2024-09-06,2024-10-06,30.0,4221497.53,0.0888,4252308.68,Liquidada,30811.15,Roldan-Torres,30-17411912-4,2,
INV-20074,2011,Acciones (Cotización),BBVA Argentina,2024-09-15,,,1508741.53,0.0478,1576695.44,Activa,67953.91,Ponce-Maldonado,30-27407783-2,1,
INV-20066,2012,Fondo Común de Inversión (FCI),"Gutierrez, Carrizo and Martinez",2024-09-17,,,4161638.46,0.1032,4669779.63,Activa,508141.17,Roldan-Torres,30-17411912-4,2,
INV-20094,2006,Bonos del Tesoro,Banco de la Nación Argentina,2024-09-19,,,4215711.11,0.0673,4599316.43,Activa,383605.32,Medina-Ferreyra,30-20000442-3,2,
INV-20027,2000,Cauciones Bursátiles,Romero-Franco,2024-09-21,2025-03-20,180.0,2467812.24,0.0793,2564320.6,Liquidada,96508.36,"Acosta, Medina and Alvarez",30-09815711-7,0,
INV-20098,2015,Acciones (Cotización),Ruiz-Aguirre,2024-09-22,,,4939401.14,0.1161,5475586.36,Activa,536185.22,Avila Ltd,30-97925279-5,2,
INV-20026,2006,Fondo Común de Inversión (FCI),"Mansilla, Martinez and Rodriguez",2024-10-09,,,4750460.01,0.1438,5638844.31,Activa,888384.3,Medina-Ferreyra,30-20000442-3,2,
INV-20009,2000,Fondo Común de Inversión (FCI),"Cruz, Torres and Olivera",2024-10-12,,,2805151.24,0.0744,3069450.31,Activa,264299.07,"Acosta, Medina and Alvarez",30-09815711-7,0,
INV-20016,2019,Plazo Fijo Bancario,Campos Ltd,2024-11-01,2025-01-30,90.0,4049660.08,0.0606,4110171.99,Liquidada,60511.91,"Gomez, Bustos and Aguirre",30-49155489-2,2,
INV-20046,2005,Acciones (Cotización),Banco Ciudad de Buenos Aires,2024-11-03,,,3113567.03,0.0638,3361193.63,Activa,247626.6,"Moreno, Paez and Gutierrez",30-28528224-9,0,
INV-20090,2013,Cauciones Bursátiles,Banco Macro,2024-11-05,2025-11-05,365.0,3203667.68,0.0739,3440418.72,Liquidada,236751.04,Romero-Fernandez,30-04203062-3,0,
INV-20086,2005,Cauciones Bursátiles,Ojeda-Perez,2024-11-12,2025-05-11,180.0,3966868.95,0.0936,4149975.27,Liquidada,183106.32,"Moreno, Paez and Gutierrez",30-28528224-9,2,
INV-20006,2017,Acciones (Cotización),Gomez Ltd,2024-11-12,,,3509571.6,0.0176,3571442.53,Activa,61870.93,"Peralta, Campos and Cabrera",30-67380697-6,2,
INV-20012,2008,Fondo Común de Inversión (FCI),Banco de la Provincia de Buenos Aires,2024-11-19,,,2465802.91,0.058,2584555.12,Activa,118752.21,Benitez-Ruiz,30-00803582-6,0,
INV-20001,2003,Fondo Común de Inversión (FCI),Castro Ltd,2024-12-07,,,2445157.75,0.0616,2589133.86,Activa,143976.11,"Godoy, Sanchez and Gonzalez",30-42961678-9,0,
INV-20061,2018,Cauciones Bursátiles,Miranda and Sons,2024-12-07,2025-12-07,365.0,4605882.28,0.0719,4875302.0,Activa,269419.72,Torres-Gutierrez,30-17152080-2,2,
INV-20068,2011,Fondo Común de Inversión (FCI),"Silva, Vazquez and Barrios",2025-01-04,,,597813.65,0.0687,633757.03,Activa,35943.38,Ponce-Maldonado,30-27407783-2,1,
INV-20093,2014,Cauciones Bursátiles,"Lucero, Romero and Suarez",2025-01-09,2025-07-08,180.0,2159943.42,0.0777,2242707.72,Liquidada,82764.3,"Gomez, Dominguez and Acosta",30-27802329-6,0,
INV-20097,2016,Acciones (Cotización),Industrial And Commercial Bank Of China,2025-02-01,,,602588.93,0.194,704483.92,Activa,101894.99,Rodriguez Inc,30-56062316-9,1,
INV-20013,2008,Fondo Común de Inversión (FCI),Banco de Inversión y Comercio Exterior (BICE),2025-02-04,,,424687.03,0.0482,443135.76,Activa,18448.73,Benitez-Ruiz,30-00803582-6,1,
INV-20052,2007,Cauciones Bursátiles,Nuevo Banco de Santa Fe,2025-02-11,2025-05-12,90.0,3173584.53,0.093,3246359.61,Vencida,72775.08,Sosa-Moreno,30-76343410-1,0,
INV-20060,2014,Plazo Fijo Bancario,Banco Hipotecario S. A.,2025-02-11,2025-03-13,30.0,3542576.02,0.1131,3575507.42,Liquidada,32931.4,"Gomez, Dominguez and Acosta",30-27802329-6,2,
INV-20080,2006,Bonos del Tesoro,Banco Credicoop,2025-02-17,,,1460016.21,0.0619,1524532.19,Activa,64515.98,Medina-Ferreyra,30-20000442-3,1,
INV-20024,2014,Bonos del Tesoro,Banco Patagonia,2025-02-22,,,615417.26,0.0574,636551.43,Activa,21134.17,"Gomez, Dominguez and Acosta",30-27802329-6,1,
INV-20015,2017,Fondo Común de Inversión (FCI),Vargas-Romero,2025-02-24,,,965362.91,0.1073,1043092.26,Activa,77729.35,"Peralta, Campos and Cabrera",30-67380697-6,1,
INV-20033,2007,Fondo Común de Inversión (FCI),"Suarez, Rivero and Sanchez",2025-03-09,,,1021293.44,0.1455,1104588.36,Activa,83294.92,Sosa-Moreno,30-76343410-1,1,
INV-20088,2011,Cauciones Bursátiles,BSE - Banco Santiago del Estero,2025-03-10,2025-04-09,30.0,4534135.27,0.0971,4570321.4,Liquidada,36186.13,Ponce-Maldonado,30-27407783-2,2,
INV-20083,2017,Acciones (Cotización),Ortiz Inc,2025-03-25,,,166190.28,-0.0402,161534.66,Activa,-4655.62,"Peralta, Campos and Cabrera",30-67380697-6,1,
INV-20096,2000,Cauciones Bursátiles,Aguero PLC,2025-04-04,2025-05-04,30.0,2282617.13,0.0816,2297926.3,Liquidada,15309.17,"Acosta, Medina and Alvarez",30-09815711-7,0,
INV-20039,2012,Cauciones Bursátiles,Banco Comafi,2025-04-09,2026-04-09,365.0,3059461.41,0.0655,3181534.79,Activa,122073.38,Roldan-Torres,30-17411912-4,0,
INV-20063,2005,Fondo Común de Inversión (FCI),Banco de Inversión y Comercio Exterior (BICE),2025-04-10,,,2600329.81,0.1174,2761520.78,Activa,161190.97,"Moreno, Paez and Gutierrez",30-28528224-9,0,
INV-20030,2010,Cauciones Bursátiles,"Caceres, Fernandez and Alvarez",2025-04-15,2025-06-14,60.0,3041181.31,0.0608,3071576.46,Vencida,30395.15,"Escobar, Molina and Guzman",30-97199217-6,0,
INV-20041,2011,Cauciones Bursátiles,Banco de la Provincia de Buenos Aires,2025-04-18,2025-06-17,60.0,4755795.72,0.0814,4819432.18,Liquidada,63636.46,Ponce-Maldonado,30-27407783-2,2,
INV-20047,2012,Fondo Común de Inversión (FCI),Diaz and Sons,2025-04-23,,,4362871.81,0.0661,4550030.37,Activa,187158.56,Roldan-Torres,30-17411912-4,2,
INV-20007,2005,Fondo Común de Inversión (FCI),Banco de la Provincia de Córdoba,2025-04-27,,,319420.43,0.0629,329978.47,Activa,10558.04,"Moreno, Paez and Gutierrez",30-28528224-9,1,
INV-20072,2012,Acciones (Cotización),Diaz-Perez,2025-05-09,,,4006492.92,0.164,4316852.58,Activa,310359.66,Roldan-Torres,30-17411912-4,2,
INV-20065,2014,Bonos del Tesoro,Moyano-Ortiz,2025-05-12,,,3949800.9,0.072,4082944.35,Activa,133143.45,"Gomez, Dominguez and Acosta",30-27802329-6,2,
INV-20058,2000,Acciones (Cotización),Banco Santander,2025-05-12,,,3728349.37,0.1583,4085771.3,Activa,357421.93,"Acosta, Medina and Alvarez",30-09815711-7,2,
INV-20036,2019,Plazo Fijo Bancario,Rojas-Lopez,2025-05-18,2025-07-17,60.0,2283022.1,0.0951,2318712.3,Liquidada,35690.2,"Gomez, Bustos and Aguirre",30-49155489-2,0,
INV-20037,2018,Fondo Común de Inversión (FCI),Nuevo Banco de Santa Fe,2025-06-03,,,2388650.76,0.098,2495312.79,Activa,106662.03,Torres-Gutierrez,30-17152080-2,0,
INV-20008,2002,Bonos del Tesoro,"Lucero, Navarro and Garcia",2025-06-09,,,1991085.24,0.0428,2027453.42,Activa,36368.18,Silva Inc,30-54635237-2,0,
INV-20057,2000,Fondo Común de Inversión (FCI),"Sanchez, Gimenez and Rodriguez",2025-06-12,,,727303.99,0.0531,743597.09,Activa,16293.1,"Acosta, Medina and Alvarez",30-09815711-7,1,
INV-20011,2000,Cauciones Bursátiles,Nuevo Banco de Santa Fe,2025-06-22,2026-06-22,365.0,2486566.37,0.0895,2588969.93,Activa,102403.56,"Acosta, Medina and Alvarez",30-09815711-7,0,
INV-20064,2016,Fondo Común de Inversión (FCI),BBVA Argentina,2025-06-24,,,323219.76,0.1341,338146.02,Activa,14926.26,Rodriguez Inc,30-56062316-9,1,
INV-20045,2013,Acciones (Cotización),Sanchez-Ledesma,2025-07-01,,,679609.79,0.0675,693820.01,Activa,14210.22,Romero-Fernandez,30-04203062-3,1,
INV-20055,2011,Acciones (Cotización),Banco de Inversión y Comercio Exterior (BICE),2025-07-02,,,3542456.67,0.049,3603098.38,Activa,60641.71,Ponce-Maldonado,30-27407783-2,2,
INV-20070,2012,Cauciones Bursátiles,Banco Credicoop,2025-07-06,2025-09-04,60.0,3087246.84,0.0878,3131804.69,Vencida,44557.85,Roldan-Torres,30-17411912-4,0,
INV-20022,2013,Bonos del Tesoro,Duarte Inc,2025-07-08,,,991817.18,0.0819,1025889.76,Activa,34072.58,Romero-Fernandez,30-04203062-3,1,
INV-20048,2010,Plazo Fijo Bancario,Lopez-Correa,2025-07-12,2026-07-12,365.0,2682525.23,0.1006,2769732.53,Activa,87207.3,"Escobar, Molina and Guzman",30-97199217-6,0,
INV-20056,2013,Fondo Común de Inversión (FCI),Ruiz Inc,2025-07-18,,,838015.32,0.1275,876217.03,Activa,38201.71,Romero-Fernandez,30-04203062-3,1,
INV-20087,2014,Cauciones Bursátiles,"Godoy, Perez and Herrera",2025-07-26,2026-01-22,180.0,986527.38,0.0666,1007736.64,Activa,21209.26,"Gomez, Dominguez and Acosta",30-27802329-6,1,
INV-20053,2010,Plazo Fijo Bancario,"Cardozo, Peralta and Lopez",2025-08-02,2025-10-31,90.0,395400.19,0.0621,401454.69,Liquidada,6054.5,"Escobar, Molina and Guzman",30-97199217-6,1,
INV-20017,2011,Bonos del Tesoro,Navarro PLC,2025-08-05,,,307211.93,0.0449,311905.97,Activa,4694.04,Ponce-Maldonado,30-27407783-2,1,
INV-20021,2015,Plazo Fijo Bancario,HSBC Bank Argentina,2025-08-16,2026-02-12,180.0,2279896.52,0.0678,2318417.09,Activa,38520.57,Avila Ltd,30-97925279-5,0,
INV-20099,2018,Fondo Común de Inversión (FCI),Quiroga LLC,2025-08-26,,,730143.19,0.0659,740643.0,Activa,10499.81,Torres-Gutierrez,30-17152080-2,1,
INV-20044,2016,Bonos del Tesoro,"Martin, Lopez and Gonzalez",2025-08-29,,,1766430.69,0.0799,1793864.84,Activa,27434.15,Rodriguez Inc,30-56062316-9,0,
INV-20040,2008,Acciones (Cotización),Banco Hipotecario S. A.,2025-08-30,,,1334165.43,0.0348,1343096.03,Activa,8930.6,Benitez-Ruiz,30-00803582-6,1,
INV-20029,2014,Acciones (Cotización),"Figueroa, Acosta and Rodriguez",2025-09-01,,,479056.47,0.1931,500367.48,Activa,21311.01,"Gomez, Dominguez and Acosta",30-27802329-6,1,
INV-20003,2006,Acciones (Cotización),Rojas-Acuña,2025-09-22,,,4009621.39,0.0427,4034365.43,Activa,24744.04,Medina-Ferreyra,30-20000442-3,2,
INV-20085,2016,Acciones (Cotización),Valdez-Perez,2025-10-12,,,2591900.19,-0.0395,2581483.84,Activa,-10416.35,Rodriguez Inc,30-56062316-9,0,
INV-20059,2003,Bonos del Tesoro,"Aguero, Fernandez and Gonzalez",2025-11-04,,,4419494.59,0.0419,4427734.35,Activa,8239.76,"Godoy, Sanchez and Gonzalez",30-42961678-9,2,
INV-20073,2001,Fondo Común de Inversión (FCI),Gimenez-Ponce,2025-11-06,,,152815.2,0.1123,153356.17,Activa,540.97,"Herrera, Perez and Fernandez",30-26898987-5,1,
